Time in hrs,TSS (Primary)
1.382,34.90708094
1.382,34.90708094
3.309111111,34.13462792
5.236222222,33.37926839
7.163333333,32.64062409
8.295,32.21450742
9.090444444,31.91832512
11.01755556,31.21200979
11.06,31.19663046
12.94466667,30.5213244
14.747,29.88919824
14.87177778,29.84592306
16.59,29.25634545
16.79888889,29.18546757
18.433,28.63689224
18.726,28.53962719
20.65311111,27.90807851
22.58022222,27.29050526
24.50733333,26.68659819
24.885,26.56982266
26.43444444,26.09605487
28.36155556,25.5185796
30.28866667,24.95388317
32.21577778,24.40168282
34.101,23.87331137
34.14288889,23.86170203
36.07,23.33367037
37.788,22.87279509
37.99711111,22.81732344
39.631,22.38850268
39.92422222,22.31240267
41.85133333,21.81865521
43.318,21.45021385
43.77844444,21.3358338
45.70555556,20.86369666
46.083,20.77245466
47.63266667,20.40200738
48.848,20.11611052
49.55977778,19.95053473
51.48688889,19.50905265
53.414,19.07734006
53.456,19.06803834
55.34111111,18.65518076
56.221,18.46554839
57.26822222,18.24236335
59.19533333,17.83868111
59.908,17.69166824
61.12244444,17.44393189
62.673,17.13266726
63.04955556,17.05791801
64.516,16.76991225
64.97666667,16.68044617
66.359,16.41483797
66.90377778,16.31132734
67.281,16.24003585
68.83088889,15.95037667
70.046,15.72690187
70.758,15.59741343
72.68511111,15.25226085
72.811,15.22998131
74.61222222,14.9147461
76.53933333,14.58470015
77.419,14.43648201
78.46644444,14.26195773
80.184,13.98033465
80.39355556,13.94635723
82.32066667,13.6377406
84.24777778,13.3359533
84.793,13.25178947
86.17488889,13.0408442
88.102,12.75226551
89.401,12.5613562
90.02911111,12.47007274
91.95622222,12.19412457
93.088,12.03491724
93.88333333,11.9242828
95.81044444,11.66041232
97.73755556,11.40238099
99.66466667,11.15005959
100.461,11.04743118
101.5917778,10.90332177
103.5188889,10.66204396
104.147,10.58456282
105.446,10.42610536
107.3731111,10.1953878
109.3002222,9.96977575
109.677,9.926252344
111.2273333,9.749156234
113.1544444,9.533418769
115.0815556,9.322455324
115.207,9.308885713
117.0086667,9.116160254
117.972,9.014754248
118.9357778,8.914430253
120.8628889,8.717164302
122.581,8.544976099
122.79,8.524263616
124.7171111,8.335631598
126.267,8.186956299
126.6442222,8.151173786
128.5713333,7.970797811
130.4984444,7.794413346
132.4255556,7.621932064
133.641,7.515114918
134.3526667,7.453267591
136.2797778,7.288335467
138.2068889,7.127053098
139.171,7.047709797
140.134,6.96933972
142.0611111,6.815116355
143.9882222,6.664305774
144.7,6.609451844
145.9153333,6.516832455
147.8424444,6.372622548
149.7695556,6.231603839
150.23,6.198374746
151.6966667,6.093705709
153.6237778,5.958859105
155.5508889,5.826996498
155.76,5.812864727
157.478,5.698051857
159.4051111,5.571960611
161.29,5.451331634
161.3322222,5.448659617
163.134,5.335847026
163.2593333,5.328087131
165.1864444,5.210182773
167.1135556,5.094887501
167.742,5.057843342
169.0406667,4.982143579
170.9677778,4.871894549
172.8948889,4.764085201
174.194,4.692757841
174.822,4.658661548
176.7491111,4.555570798
178.6762222,4.454761326
179.724,4.400890176
180.6033333,4.35618265
182.5304444,4.259785406
184.4575556,4.16552132
186.3846667,4.073343188
187.097,4.039789422
188.3117778,3.983204851
190.2388889,3.895061171
192.166,3.808868007
192.166,3.808868007
